~~~~~~~
Average SYN/s in last minute: ,17.65
Total SYN/m: ,1029
Average SYN/s in last minute: ,17.15
Total SYN/m: ,991
Average SYN/s in last minute: ,16.52
Total SYN/m: ,891
Average SYN/s in last minute: ,14.85
Total SYN/m: ,973
Average SYN/s in last minute: ,16.22
Total SYN/m: ,966
Average SYN/s in last minute: ,16.10
Total SYN/m: ,1007
Average SYN/s in last minute: ,16.78
Total SYN/m: ,1021
Average SYN/s in last minute: ,17.02
Total SYN/m: ,788
Average SYN/s in last minute: ,13.13
Total SYN/m: ,854
Average SYN/s in last minute: ,14.23
Total SYN/m: ,1029
Average SYN/s in last minute: ,17.15
Total SYN/m: ,1315
Average SYN/s in last minute: ,21.92
Total SYN/m: ,976
Average SYN/s in last minute: ,16.27
Total SYN/m: ,1066
Average SYN/s in last minute: ,17.77
Total SYN/m: ,875
Average SYN/s in last minute: ,14.58
Total SYN/m: ,926
Average SYN/s in last minute: ,15.43
Total SYN/m: ,1097
Average SYN/s in last minute: ,18.28
Total SYN/m: ,1079
Average SYN/s in last minute: ,17.98
Total SYN/m: ,1026
Average SYN/s in last minute: ,17.10
Total SYN/m: ,1159
Average SYN/s in last minute: ,19.32
Total SYN/m: ,900
Average SYN/s in last minute: ,15.00
Total SYN/m: ,1266
Average SYN/s in last minute: ,21.10
Total SYN/m: ,991
Average SYN/s in last minute: ,16.52
Total SYN/m: ,1035
Average SYN/s in last minute: ,17.25
Total SYN/m: ,1175
Average SYN/s in last minute: ,19.58
Total SYN/m: ,1261
Average SYN/s in last minute: ,21.02
Total SYN/m: ,1025
Average SYN/s in last minute: ,17.08
Total SYN/m: ,995
Average SYN/s in last minute: ,16.58
Total SYN/m: ,1224
Average SYN/s in last minute: ,20.40
Total SYN/m: ,979
Average SYN/s in last minute: ,16.32
Total SYN/m: ,1202
Average SYN/s in last minute: ,20.03
Total SYN/m: ,1044
Average SYN/s in last minute: ,17.40
Total SYN/m: ,970
Average SYN/s in last minute: ,16.17
Total SYN/m: ,902
Average SYN/s in last minute: ,15.03
Total SYN/m: ,862
Average SYN/s in last minute: ,14.37
Total SYN/m: ,1226
Average SYN/s in last minute: ,20.43
Total SYN/m: ,1075
Average SYN/s in last minute: ,17.92
Total SYN/m: ,1074
Average SYN/s in last minute: ,17.90
Total SYN/m: ,1042
Average SYN/s in last minute: ,17.37
Total SYN/m: ,1035
Average SYN/s in last minute: ,17.25
Total SYN/m: ,992
Average SYN/s in last minute: ,16.53
Total SYN/m: ,1019
Average SYN/s in last minute: ,16.98
Total SYN/m: ,1020
Average SYN/s in last minute: ,17.00
Total SYN/m: ,730
Average SYN/s in last minute: ,12.17
Total SYN/m: ,925
Average SYN/s in last minute: ,15.42
Total SYN/m: ,960
Average SYN/s in last minute: ,16.00
Total SYN/m: ,1035
Average SYN/s in last minute: ,17.25
Total SYN/m: ,1112
Average SYN/s in last minute: ,18.53
Total SYN/m: ,911
Average SYN/s in last minute: ,15.18
Total SYN/m: ,1072
Average SYN/s in last minute: ,17.87
Total SYN/m: ,1028
